GEOID,median_rent,median_value,median_income,log_rent,log_value,log_income,mf_share,gentle_density_share,high_density_share,sf_share,renter_share,treated_dupac,minority_share,poverty_rate,bea_monthly_cost
25021417702,1583.0,434100.0,78542.0,7.367077059881012,12.981030201287686,11.271388792539128,0.39819004524886875,0.07692307692307693,0.3212669683257919,0.6018099547511312,0.29891838741396265,0,0.0715843023255814,0.08938953488372094,2275.4075
25021418003,1855.0,391800.0,84583.0,7.5256399750415355,12.878506784492577,11.34548857977556,0.7672727272727272,0.17018181818181818,0.5970909090909091,0.23272727272727273,0.6856287425149701,1,0.07539118065433854,0.1721194879089616,2053.685
25021418004,1391.0,367600.0,60445.0,7.237778191923443,12.814750669463669,11.009489139636091,0.7078972407231209,0.483349191246432,0.22454804947668885,0.2921027592768792,0.5661686232657417,1,0.09883980365908077,0.11624274877286926,1926.8366666666668
25021418101,1622.0,441700.0,73326.0,7.3914152346753585,12.998386197584617,11.202670531666056,0.6738952536824877,0.18821603927986907,0.48567921440261863,0.3261047463175123,0.588593818023509,1,0.09366272824919442,0.1841704718417047,2315.244166666667
25021418102,1316.0,362000.0,60833.0,7.182352111885263,12.799399490807907,11.015887683869506,0.6266901822457378,0.2774838330393886,0.3492063492063492,0.3733098177542622,0.6034047919293821,1,0.13247729408080175,0.09600251809883538,1897.4833333333333
25021441203,1065.0,344400.0,96667.0,6.970730078143525,12.749559051535712,11.479027361564464,0.11342281879194631,0.06577181208053691,0.0476510067114094,0.8865771812080537,0.2,0,0.05245649948822927,0.030839367122552964,1805.2299999999998
25021441204,1125.0,458800.0,106957.0,7.025538314638521,13.036369664237352,11.580182163514113,0.22525597269624573,0.10295790671217292,0.1222980659840728,0.7747440273037542,0.22,0,0.06796319531576746,0.03279039862837548,2404.8766666666666
25021442201,1719.0,505700.0,158618.0,7.449498005382849,13.133698887068075,11.974254074807346,0.19829284307288247,0.024294156270518712,0.17399868680236374,0.8017071569271176,0.19573901464713714,0,0.01990661096092406,0.01720324404030474,2650.710833333333
25021442202,1081.0,398400.0,86642.0,6.985641817639208,12.89521180469258,11.369539965434294,0.3999420793512887,0.19403417318273963,0.2059079061685491,0.6000579206487112,0.35212922173274597,1,0.03143695014662757,0.06358032152786172,2088.28
25025091400,1029.0,355100.0,45524.0,6.9363427358340495,12.780154718931179,10.725994938401781,0.7971291866028708,0.42200956937799045,0.3751196172248804,0.20287081339712917,0.6715025906735751,1,0.8518167456556082,0.22764743183259353,1861.3158333333333
25001011200,1184.0,423000.0,66929.0,7.076653815443951,12.955127458028414,11.111387634999954,0.10285406569736133,0.035541195476575124,0.06731287022078622,0.8971459343026387,0.1508313539192399,0,0.09897810218978102,0.08895434462444772,2217.225
25001011400,1229.0,434600.0,59313.0,7.113956109566034,12.982181346804467,10.99058378524299,0.12667390517553384,0.06731813246471227,0.05935577271082157,0.8078175895765473,0.16573426573426572,0,0.03631961259079903,0.12210307851954341,2278.028333333333
25001013100,2069.0,359000.0,85662.0,7.634820677745543,12.791077667470416,11.358164599017275,0.07024314936318024,0.043226553454264766,0.027016595908915475,0.9297568506368198,0.10290237467018469,0,0.023670862295697915,0.06495951798154773,1881.7583333333332
25021400900,2041.0,701100.0,80045.0,7.621195162809845,13.46040580919506,11.290344255512196,0.90625,0.22278225806451613,0.6834677419354839,0.09375,0.6020725388601036,1,0.1340057636887608,0.16978866474543708,3674.9324999999994
25021401100,1628.0,1563900.0,167361.0,7.395107546562485,14.262693259424307,12.027908434984248,0.3311432325886991,0.19053876478318002,0.14060446780551905,0.668856767411301,0.22632311977715877,1,0.09000743863129185,0.0660964230171073,8197.4425
25021401200,2290.0,1002100.0,153182.0,7.736307096548285,13.81760835604642,11.939382035913145,0.19534333070244672,0.06866614048934491,0.1266771902131018,0.8046566692975533,0.33319112627986347,0,0.15232558139534882,0.06532258064516129,5252.674166666667
25021403400,431.0,820200.0,135161.0,6.066108090103747,13.617303491940095,11.814221939439507,0.24238733252131547,0.06658546488022736,0.1758018676410881,0.7576126674786845,0.2042079207920792,0,0.03120898352049001,0.03477854023705552,4299.214999999999
